         S_ALK   S_I       S_ND       S_NH       S_NO       S_O        S_S      X_BA        X_BH   X_I       X_ND       X_P         X_S
t120  5.908488  40.0   2.817834  18.825907  17.607070  0.735269   6.149628  6.882386  149.105179  40.0   5.361297  3.967546   39.587271
t121  5.903372  40.0   2.813237  18.812672  17.665470  0.734162   6.143562  6.895289  149.214219  40.0   5.302090  3.992268   39.196297
t122  5.898240  40.0   2.808677  18.799071  17.723708  0.733068   6.137469  6.908150  149.322169  40.0   5.243519  4.016856   38.808380
t123  5.893094  40.0   2.804153  18.785107  17.781785  0.731986   6.131349  6.920969  149.429027  40.0   5.185579  4.041313   38.423518
t124  5.887934  40.0   2.799665  18.770785  17.839702  0.730916   6.125202  6.933746  149.534794  40.0   5.128264  4.065638   38.041706
t125  5.882761  40.0   2.795212  18.756112  17.897460  0.729857   6.119027  6.946482  149.639470  40.0   5.071569  4.089831   37.662942
t126  5.877574  40.0   2.790795  18.741090  17.955058  0.728811   6.112825  6.959175  149.743053  40.0   5.015489  4.113894   37.287222
t127  5.872374  40.0   2.786413  18.725727  18.012497  0.727777   6.106594  6.971828  149.845544  40.0   4.960019  4.137827   36.914542
t128  5.867161  40.0   2.782065  18.710025  18.069778  0.726755   6.100334  6.984439  149.946942  40.0   4.905154  4.161629   36.544900
t129  5.861935  40.0   2.777751  18.693990  18.126900  0.725745   6.094045  6.997009  150.047246  40.0   4.850889  4.185303   36.178292
t130  5.856697  40.0   2.773471  18.677627  18.183866  0.724747   6.087727  7.009537  150.146456  40.0   4.797218  4.208848   35.814715
t131  5.851448  40.0   2.769224  18.660941  18.240674  0.723762   6.081380  7.022025  150.244572  40.0   4.744138  4.232265   35.454165
t132  5.846186  40.0   2.765011  18.643935  18.297326  0.722788   6.075002  7.034472  150.341592  40.0   4.691643  4.255554   35.096642
t133  5.840914  40.0   2.760830  18.626615  18.353822  0.721827   6.068594  7.046877  150.437517  40.0   4.639729  4.278716   34.742140
t134  5.835630  40.0   2.756681  18.608985  18.410162  0.720877   6.062156  7.059242  150.532344  40.0   4.588390  4.301751   34.390658
t135  5.830336  40.0   2.752565  18.591049  18.466348  0.719940   6.055687  7.071567  150.626075  40.0   4.537623  4.324660   34.042192
t136  5.825031  40.0   2.748480  18.572812  18.522378  0.719016   6.049187  7.083850  150.718708  40.0   4.487422  4.347444   33.696741
t137  5.819716  40.0   2.744426  18.554278  18.578255  0.718103   6.042656  7.096094  150.810242  40.0   4.437783  4.370102   33.354301
t138  5.814391  40.0   2.740404  18.535452  18.633978  0.717202   6.036094  7.108297  150.900676  40.0   4.388702  4.392636   33.014869
t139  5.809056  40.0   2.736411  18.516338  18.689547  0.716314   6.029500  7.120459  150.990011  40.0   4.340174  4.415045   32.678444
t140  5.803713  40.0   2.732449  18.496940  18.744964  0.715438   6.022874  7.132582  151.078244  40.0   4.292195  4.437331   32.345023
t141  5.798359  40.0   2.728517  18.477262  18.800229  0.714574   6.016217  7.144664  151.165376  40.0   4.244760  4.459494   32.014602
t142  5.792998  40.0   2.724614  18.457308  18.855342  0.713723   6.009528  7.156707  151.251405  40.0   4.197866  4.481534   31.687180
t143  5.787627  40.0   2.720740  18.437082  18.910304  0.712884   6.002806  7.168710  151.336331  40.0   4.151508  4.503451   31.362755
t144  5.782248  40.0   2.716895  18.416589  18.965114  0.712056   5.996053  7.180673  151.420153  40.0   4.105681  4.525247   31.041323
t145  5.776861  40.0   2.713078  18.395832  19.019775  0.711242   5.989267  7.192596  151.502870  40.0   4.060383  4.546921   30.722882
t146  5.771466  40.0   2.709289  18.374816  19.074285  0.710439   5.982449  7.204480  151.584481  40.0   4.015608  4.568475   30.407430
t147  5.766064  40.0   2.705527  18.353543  19.128646  0.709648   5.975599  7.216324  151.664986  40.0   3.971354  4.589908   30.094965
t148  5.760654  40.0   2.701792  18.332018  19.182858  0.708870   5.968717  7.228129  151.744383  40.0   3.927615  4.611221   29.785484
t149  5.755237  40.0   2.698084  18.310245  19.236922  0.708104   5.961803  7.239895  151.822673  40.0   3.884388  4.632414   29.478984
t150  5.749814  40.0   2.694402  18.288227  19.290837  0.707350   5.954856  7.251622  151.899853  40.0   3.841669  4.653488   29.175463
t151  5.744383  40.0   2.690746  18.265968  19.344605  0.706608   5.947878  7.263309  151.975924  40.0   3.799455  4.674444   28.874919
t152  5.738946  40.0   2.687115  18.243472  19.398226  0.705879   5.940868  7.274958  152.050885  40.0   3.757742  4.695281   28.577349
t153  5.733503  40.0   2.683509  18.220741  19.451700  0.705161   5.933826  7.286568  152.124735  40.0   3.716526  4.716001   28.282750
t154  5.728054  40.0   2.679928  18.197781  19.505028  0.704456   5.926752  7.298139  152.197473  40.0   3.675804  4.736603   27.991120
t155  5.722599  40.0   2.676372  18.174593  19.558210  0.703763   5.919648  7.309671  152.269098  40.0   3.635572  4.757088   27.702456
t156  5.717138  40.0   2.672839  18.151181  19.611246  0.703081   5.912512  7.321165  152.339611  40.0   3.595826  4.777457   27.416755
t157  5.711672  40.0   2.669329  18.127549  19.664138  0.702412   5.905346  7.332620  152.409010  40.0   3.556563  4.797710   27.134015
t158  5.706201  40.0   2.665843  18.103700  19.716886  0.701755   5.898149  7.344037  152.477295  40.0   3.517780  4.817847   26.854232
t159  5.700725  40.0   2.662379  18.079636  19.769489  0.701110   5.890923  7.355416  152.544466  40.0   3.479474  4.837869   26.577404
t160  5.695244  40.0   2.658937  18.055363  19.821949  0.700476   5.883666  7.366757  152.610522  40.0   3.441641  4.857776   26.303527
t161  5.689758  40.0   2.655518  18.030881  19.874266  0.699855   5.876381  7.378059  152.675462  40.0   3.404277  4.877568   26.032597
t162  5.684268  40.0   2.652119  18.006195  19.926440  0.699245   5.869067  7.389324  152.739287  40.0   3.367380  4.897247   25.764613
t163  5.678774  40.0   2.648742  17.981308  19.978472  0.698647   5.861725  7.400550  152.801996  40.0   3.330947  4.916811   25.499570
t164  5.673276  40.0   2.645386  17.956222  20.030362  0.698061   5.854355  7.411739  152.863589  40.0   3.294974  4.936263   25.237464
t165  5.667774  40.0   2.642050  17.930940  20.082110  0.697486   5.846958  7.422890  152.924066  40.0   3.259458  4.955602   24.978292
t166  5.662268  40.0   2.638735  17.905465  20.133718  0.696923   5.839534  7.434004  152.983427  40.0   3.224396  4.974828   24.722050
t167  5.656758  40.0   2.635439  17.879800  20.185185  0.696371   5.832085  7.445080  153.041672  40.0   3.189786  4.993942   24.468734
t168  5.651245  40.0   2.632162  17.853949  20.236512  0.695831   5.824611  7.456119  153.098801  40.0   3.155624  5.012945   24.218339
t169  5.645729  40.0   2.628905  17.827912  20.287700  0.695303   5.817113  7.467120  153.154814  40.0   3.121907  5.031837   23.970861
t170  5.640210  40.0   2.625666  17.801694  20.338748  0.694785   5.809591  7.478084  153.209712  40.0   3.088632  5.050617   23.726295
t171  5.634689  40.0   2.622446  17.775296  20.389657  0.694279   5.802047  7.489011  153.263495  40.0   3.055798  5.069287   23.484637
t172  5.629164  40.0   2.619243  17.748722  20.440428  0.693784   5.794481  7.499901  153.316164  40.0   3.023399  5.087847   23.245881
t173  5.623637  40.0   2.616059  17.721974  20.491061  0.693300   5.786894  7.510754  153.367719  40.0   2.991435  5.106297   23.010022
t174  5.618107  40.0   2.612892  17.695054  20.541556  0.692827   5.779287  7.521571  153.418162  40.0   2.959902  5.124638   22.777055
t175  5.612575  40.0   2.609743  17.667964  20.591914  0.692364   5.771662  7.532350  153.467493  40.0   2.928797  5.142870   22.546973
t176  5.607041  40.0   2.606611  17.640708  20.642135  0.691913   5.764019  7.543093  153.515713  40.0   2.898117  5.160993   22.319771
t177  5.601505  40.0   2.603496  17.613288  20.692219  0.691472   5.756360  7.553799  153.562823  40.0   2.867860  5.179008   22.095441
t178  5.595967  40.0   2.600397  17.585705  20.742168  0.691041   5.748685  7.564469  153.608826  40.0   2.838024  5.196915   21.873979
t179  5.590427  40.0   2.597314  17.557962  20.791980  0.690621   5.740996  7.575102  153.653722  40.0   2.808605  5.214715   21.655376
t180  5.584886  40.0   2.594248  17.530062  20.841658  0.690211   5.733295  7.585699  153.697512  40.0   2.779600  5.232407   21.439625
t181  5.579343  40.0   2.591198  17.502006  20.891200  0.689812   5.725581  7.596260  153.740200  40.0   2.751008  5.249993   21.226719
t182  5.573799  40.0   2.588164  17.473798  20.940608  0.689422   5.717858  7.606785  153.781786  40.0   2.722825  5.267472   21.016650
t183  5.568254  40.0   2.585146  17.445438  20.989881  0.689042   5.710126  7.617273  153.822274  40.0   2.695049  5.284845   20.809410
t184  5.562708  40.0   2.582143  17.416929  21.039020  0.688672   5.702386  7.627726  153.861665  40.0   2.667677  5.302113   20.604990
t185  5.557160  40.0   2.579156  17.388273  21.088026  0.688311   5.694641  7.638143  153.899961  40.0   2.640706  5.319275   20.403382
t186  5.551612  40.0   2.576185  17.359472  21.136899  0.687960   5.686891  7.648524  153.937167  40.0   2.614134  5.336331   20.204575
t187  5.546064  40.0   2.573229  17.330528  21.185638  0.687618   5.679138  7.658869  153.973283  40.0   2.587958  5.353284   20.008561
t188  5.540514  40.0   2.570288  17.301443  21.234245  0.687285   5.671385  7.669179  154.008314  40.0   2.562176  5.370132   19.815330
t189  5.534964  40.0   2.567362  17.272220  21.282720  0.686962   5.663632  7.679454  154.042263  40.0   2.536785  5.386876   19.624871
t190  5.529414  40.0   2.564452  17.242859  21.331063  0.686646   5.655881  7.689693  154.075134  40.0   2.511782  5.403516   19.437173
t191  5.523864  40.0   2.561556  17.213364  21.379274  0.686340   5.648134  7.699896  154.106929  40.0   2.487164  5.420053   19.252225
t192  5.518313  40.0   2.558677  17.183735  21.427354  0.686041   5.640393  7.710065  154.137654  40.0   2.462929  5.436487   19.070016
t193  5.512762  40.0   2.555812  17.153975  21.475303  0.685751   5.632660  7.720198  154.167311  40.0   2.439075  5.452819   18.890533
t194  5.507212  40.0   2.552963  17.124085  21.523121  0.685469   5.624935  7.730296  154.195907  40.0   2.415598  5.469048   18.713765
t195  5.501661  40.0   2.550129  17.094068  21.570808  0.685195   5.617223  7.740359  154.223444  40.0   2.392495  5.485175   18.539698
t196  5.496111  40.0   2.547311  17.063925  21.618365  0.684929   5.609523  7.750387  154.249929  40.0   2.369765  5.501201   18.368320
t197  5.490562  40.0   2.544509  17.033658  21.665792  0.684669   5.601839  7.760381  154.275365  40.0   2.347404  5.517125   18.199615
t198  5.485013  40.0   2.541722  17.003269  21.713090  0.684417   5.594171  7.770340  154.299759  40.0   2.325410  5.532949   18.033571
t199  5.479464  40.0   2.538951  16.972759  21.760258  0.684172   5.586523  7.780264  154.323116  40.0   2.303779  5.548672   17.870173
t200  5.473917  40.0   2.536196  16.942131  21.807297  0.683934   5.578896  7.790153  154.345442  40.0   2.282509  5.564295   17.709406
t201  5.468370  40.0   2.533457  16.911386  21.854206  0.683703   5.571292  7.800008  154.366742  40.0   2.261597  5.579817   17.551253
