           h_S      h_OH    h_OHan      h_NO      h_NH  h_OA     h_SBH
t          NaN       NaN       NaN       NaN       NaN   NaN       NaN
t282  0.218181  0.888889  0.111111  0.980463  0.950497   0.8  0.797421
t283  0.218126  0.888889  0.111111  0.980491  0.950385   0.8  0.797138
t284  0.218073  0.888889  0.111111  0.980518  0.950274   0.8  0.796864
t285  0.218021  0.888889  0.111111  0.980546  0.950162   0.8  0.796598
t286  0.217972  0.888889  0.111111  0.980573  0.950049   0.8  0.796340
t287  0.217924  0.888889  0.111111  0.980600  0.949937   0.8  0.796091
t288  0.217878  0.888889  0.111111  0.980627  0.949824   0.8  0.795849
t289  0.217833  0.888889  0.111111  0.980654  0.949710   0.8  0.795615
t290  0.217791  0.888889  0.111111  0.980681  0.949596   0.8  0.795389
t291  0.217749  0.888889  0.111111  0.980707  0.949482   0.8  0.795171
t292  0.217710  0.888889  0.111111  0.980733  0.949368   0.8  0.794960
t293  0.217672  0.888889  0.111111  0.980759  0.949253   0.8  0.794756
t294  0.217636  0.888889  0.111111  0.980785  0.949138   0.8  0.794558
t295  0.217601  0.888889  0.111111  0.980811  0.949023   0.8  0.794368
t296  0.217568  0.888889  0.111111  0.980837  0.948907   0.8  0.794185
t297  0.217536  0.888889  0.111111  0.980862  0.948792   0.8  0.794008
t298  0.217506  0.888889  0.111111  0.980888  0.948675   0.8  0.793837
t299  0.217477  0.888889  0.111111  0.980913  0.948559   0.8  0.793673
t300  0.217449  0.888889  0.111111  0.980938  0.948442   0.8  0.793515
t301  0.217422  0.888889  0.111111  0.980963  0.948325   0.8  0.793363
t302  0.217397  0.888889  0.111111  0.980987  0.948207   0.8  0.793217
t303  0.217373  0.888889  0.111111  0.981012  0.948090   0.8  0.793076
t304  0.217351  0.888889  0.111111  0.981036  0.947972   0.8  0.792941
t305  0.217329  0.888889  0.111111  0.981060  0.947854   0.8  0.792811
t306  0.217309  0.888889  0.111111  0.981085  0.947735   0.8  0.792687
t307  0.217290  0.888889  0.111111  0.981108  0.947616   0.8  0.792568
t308  0.217272  0.888889  0.111111  0.981132  0.947497   0.8  0.792453
t309  0.217255  0.888889  0.111111  0.981156  0.947378   0.8  0.792344
t310  0.217239  0.888889  0.111111  0.981179  0.947259   0.8  0.792239
t311  0.217224  0.888889  0.111111  0.981203  0.947139   0.8  0.792139
t312  0.217210  0.888889  0.111111  0.981226  0.947019   0.8  0.792044
t313  0.217197  0.888889  0.111111  0.981249  0.946899   0.8  0.791952
t314  0.217185  0.888889  0.111111  0.981272  0.946778   0.8  0.791866
t315  0.217174  0.888889  0.111111  0.981295  0.946657   0.8  0.791783
t316  0.217164  0.888889  0.111111  0.981317  0.946536   0.8  0.791704
t317  0.217154  0.888889  0.111111  0.981340  0.946415   0.8  0.791629
t318  0.217146  0.888889  0.111111  0.981362  0.946294   0.8  0.791558
t319  0.217138  0.888889  0.111111  0.981385  0.946172   0.8  0.791491
t320  0.217131  0.888889  0.111111  0.981407  0.946050   0.8  0.791427
t321  0.217125  0.888889  0.111111  0.981429  0.945928   0.8  0.791367
t322  0.217119  0.888889  0.111111  0.981450  0.945806   0.8  0.791311
t323  0.217115  0.888889  0.111111  0.981472  0.945683   0.8  0.791257
t324  0.217111  0.888889  0.111111  0.981494  0.945561   0.8  0.791207
t325  0.217107  0.888889  0.111111  0.981515  0.945438   0.8  0.791160
t326  0.217104  0.888889  0.111111  0.981536  0.945315   0.8  0.791116
t327  0.217102  0.888889  0.111111  0.981558  0.945191   0.8  0.791075
t328  0.217101  0.888889  0.111111  0.981579  0.945068   0.8  0.791036
t329  0.217100  0.888889  0.111111  0.981600  0.944944   0.8  0.791001
t330  0.217100  0.888889  0.111111  0.981620  0.944820   0.8  0.790968
t331  0.217100  0.888889  0.111111  0.981641  0.944696   0.8  0.790938
t332  0.217101  0.888889  0.111111  0.981662  0.944572   0.8  0.790910
t333  0.217102  0.888889  0.111111  0.981682  0.944448   0.8  0.790885
t334  0.217104  0.888889  0.111111  0.981702  0.944323   0.8  0.790862
t335  0.217106  0.888889  0.111111  0.981723  0.944198   0.8  0.790841
t336  0.217109  0.888889  0.111111  0.981743  0.944073   0.8  0.790823
t337  0.217112  0.888889  0.111111  0.981762  0.943948   0.8  0.790807
t338  0.217116  0.888889  0.111111  0.981782  0.943823   0.8  0.790792
t339  0.217120  0.888889  0.111111  0.981802  0.943698   0.8  0.790780
t340  0.217124  0.888889  0.111111  0.981822  0.943572   0.8  0.790770
t341  0.217129  0.888889  0.111111  0.981841  0.943447   0.8  0.790762
t342  0.217134  0.888889  0.111111  0.981860  0.943321   0.8  0.790755
t343  0.217140  0.888889  0.111111  0.981880  0.943195   0.8  0.790750
t344  0.217146  0.888889  0.111111  0.981899  0.943069   0.8  0.790747
t345  0.217152  0.888889  0.111111  0.981918  0.942943   0.8  0.790746
t346  0.217159  0.888889  0.111111  0.981937  0.942816   0.8  0.790746
t347  0.217166  0.888889  0.111111  0.981955  0.942690   0.8  0.790748
t348  0.217173  0.888889  0.111111  0.981974  0.942563   0.8  0.790751
t349  0.217180  0.888889  0.111111  0.981992  0.942436   0.8  0.790756
t350  0.217188  0.888889  0.111111  0.982011  0.942310   0.8  0.790762
t351  0.217196  0.888889  0.111111  0.982029  0.942183   0.8  0.790769
t352  0.217204  0.888889  0.111111  0.982047  0.942056   0.8  0.790778
t353  0.217213  0.888889  0.111111  0.982065  0.941928   0.8  0.790788
t354  0.217222  0.888889  0.111111  0.982083  0.941801   0.8  0.790799
t355  0.217231  0.888889  0.111111  0.982101  0.941674   0.8  0.790811
t356  0.217240  0.888889  0.111111  0.982119  0.941546   0.8  0.790825
t357  0.217249  0.888889  0.111111  0.982137  0.941419   0.8  0.790839
t358  0.217259  0.888889  0.111111  0.982154  0.941291   0.8  0.790854
t359  0.217269  0.888889  0.111111  0.982172  0.941163   0.8  0.790871
t360  0.217279  0.888889  0.111111  0.982189  0.941035   0.8  0.790888
t361  0.217289  0.888889  0.111111  0.982206  0.940907   0.8  0.790907
t362  0.217299  0.888889  0.111111  0.982223  0.940779   0.8  0.790926
t363  0.217310  0.888889  0.111111  0.982241  0.940651   0.8  0.790946
t364  0.217320  0.888889  0.111111  0.982257  0.940523   0.8  0.790967
t365  0.217331  0.888889  0.111111  0.982274  0.940395   0.8  0.790988
t366  0.217342  0.888889  0.111111  0.982291  0.940266   0.8  0.791011
t367  0.217353  0.888889  0.111111  0.982308  0.940138   0.8  0.791034
t368  0.217364  0.888889  0.111111  0.982324  0.940009   0.8  0.791058
t369  0.217375  0.888889  0.111111  0.982341  0.939881   0.8  0.791082
t370  0.217387  0.888889  0.111111  0.982357  0.939752   0.8  0.791107
t371  0.217398  0.888889  0.111111  0.982373  0.939623   0.8  0.791133
