        H_grow  Han_grow    A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t          NaN       NaN       NaN       NaN       NaN       NaN        NaN       NaN
t267  0.001386  0.000136  0.000065  0.000889  0.000013  0.000350   0.001985  0.000259
t268  0.001385  0.000136  0.000065  0.000889  0.000013  0.000349   0.001983  0.000258
t269  0.001385  0.000136  0.000065  0.000889  0.000013  0.000349   0.001982  0.000258
t270  0.001384  0.000136  0.000065  0.000889  0.000013  0.000349   0.001981  0.000258
t271  0.001383  0.000136  0.000065  0.000888  0.000013  0.000349   0.001979  0.000258
t272  0.001382  0.000135  0.000065  0.000888  0.000013  0.000349   0.001978  0.000258
t273  0.001382  0.000135  0.000065  0.000888  0.000013  0.000348   0.001977  0.000258
t274  0.001381  0.000135  0.000065  0.000888  0.000013  0.000348   0.001976  0.000258
t275  0.001380  0.000135  0.000065  0.000888  0.000013  0.000348   0.001975  0.000257
t276  0.001380  0.000135  0.000065  0.000888  0.000013  0.000348   0.001973  0.000257
t277  0.001379  0.000135  0.000065  0.000888  0.000013  0.000348   0.001972  0.000257
t278  0.001378  0.000135  0.000065  0.000887  0.000013  0.000347   0.001971  0.000257
t279  0.001378  0.000135  0.000065  0.000887  0.000013  0.000347   0.001970  0.000257
t280  0.001377  0.000135  0.000065  0.000887  0.000013  0.000347   0.001969  0.000257
t281  0.001377  0.000135  0.000065  0.000887  0.000013  0.000347   0.001968  0.000257
t282  0.001376  0.000135  0.000065  0.000887  0.000013  0.000347   0.001967  0.000256
t283  0.001375  0.000135  0.000065  0.000887  0.000013  0.000347   0.001966  0.000256
t284  0.001375  0.000135  0.000066  0.000887  0.000013  0.000346   0.001965  0.000256
t285  0.001374  0.000135  0.000066  0.000886  0.000013  0.000346   0.001964  0.000256
t286  0.001374  0.000135  0.000066  0.000886  0.000013  0.000346   0.001963  0.000256
t287  0.001373  0.000135  0.000066  0.000886  0.000013  0.000346   0.001962  0.000256
t288  0.001373  0.000135  0.000066  0.000886  0.000013  0.000346   0.001961  0.000256
t289  0.001372  0.000135  0.000066  0.000886  0.000013  0.000346   0.001960  0.000256
t290  0.001372  0.000135  0.000066  0.000886  0.000013  0.000346   0.001959  0.000255
t291  0.001371  0.000134  0.000066  0.000885  0.000013  0.000345   0.001958  0.000255
t292  0.001371  0.000134  0.000066  0.000885  0.000013  0.000345   0.001957  0.000255
t293  0.001370  0.000134  0.000066  0.000885  0.000013  0.000345   0.001957  0.000255
t294  0.001370  0.000134  0.000066  0.000885  0.000013  0.000345   0.001956  0.000255
t295  0.001369  0.000134  0.000066  0.000885  0.000013  0.000345   0.001955  0.000255
t296  0.001369  0.000134  0.000066  0.000885  0.000013  0.000345   0.001954  0.000255
t297  0.001368  0.000134  0.000066  0.000885  0.000013  0.000345   0.001953  0.000255
t298  0.001368  0.000134  0.000066  0.000884  0.000013  0.000345   0.001953  0.000255
t299  0.001368  0.000134  0.000066  0.000884  0.000013  0.000345   0.001952  0.000255
t300  0.001367  0.000134  0.000066  0.000884  0.000013  0.000344   0.001951  0.000254
t301  0.001367  0.000134  0.000066  0.000884  0.000013  0.000344   0.001950  0.000254
t302  0.001366  0.000134  0.000066  0.000884  0.000013  0.000344   0.001950  0.000254
t303  0.001366  0.000134  0.000066  0.000884  0.000013  0.000344   0.001949  0.000254
t304  0.001366  0.000134  0.000066  0.000883  0.000013  0.000344   0.001948  0.000254
t305  0.001365  0.000134  0.000066  0.000883  0.000013  0.000344   0.001948  0.000254
t306  0.001365  0.000134  0.000067  0.000883  0.000013  0.000344   0.001947  0.000254
t307  0.001364  0.000134  0.000067  0.000883  0.000013  0.000344   0.001946  0.000254
t308  0.001364  0.000134  0.000067  0.000883  0.000013  0.000344   0.001946  0.000254
t309  0.001364  0.000134  0.000067  0.000883  0.000013  0.000344   0.001945  0.000254
t310  0.001363  0.000134  0.000067  0.000883  0.000013  0.000343   0.001945  0.000254
t311  0.001363  0.000134  0.000067  0.000882  0.000013  0.000343   0.001944  0.000254
t312  0.001363  0.000134  0.000067  0.000882  0.000013  0.000343   0.001943  0.000254
t313  0.001362  0.000134  0.000067  0.000882  0.000013  0.000343   0.001943  0.000254
t314  0.001362  0.000134  0.000067  0.000882  0.000013  0.000343   0.001942  0.000253
t315  0.001362  0.000134  0.000067  0.000882  0.000013  0.000343   0.001942  0.000253
t316  0.001362  0.000134  0.000067  0.000882  0.000013  0.000343   0.001941  0.000253
t317  0.001361  0.000134  0.000067  0.000882  0.000013  0.000343   0.001941  0.000253
t318  0.001361  0.000134  0.000067  0.000881  0.000013  0.000343   0.001940  0.000253
