          S_ALK   S_I       S_ND       S_NH       S_NO  S_O        S_S  X_BA        X_BH   X_I       X_ND       X_P         X_S
t108   6.560790  40.0   6.066797  16.001932  15.650872  0.0  38.787185   0.0  108.781684  40.0  17.890607  0.370657  107.621968
t109   6.565160  40.0   6.039182  16.025358  15.613121  0.0  38.571186   0.0  108.889609  40.0  17.886995  0.374176  107.618554
t110   6.569515  40.0   6.011720  16.048648  15.575436  0.0  38.355638   0.0  108.997270  40.0  17.883384  0.377697  107.615142
t111   6.573856  40.0   5.984413  16.071803  15.537819  0.0  38.140545   0.0  109.104665  40.0  17.879772  0.381219  107.611733
t112   6.578182  40.0   5.957258  16.094823  15.500269  0.0  37.925910   0.0  109.211790  40.0  17.876161  0.384742  107.608326
t113   6.582494  40.0   5.930256  16.117710  15.462787  0.0  37.711737   0.0  109.318644  40.0  17.872551  0.388267  107.604922
t114   6.586792  40.0   5.903405  16.140463  15.425374  0.0  37.498032   0.0  109.425225  40.0  17.868940  0.391793  107.601520
t115   6.591075  40.0   5.876706  16.163084  15.388030  0.0  37.284797   0.0  109.531530  40.0  17.865331  0.395320  107.598120
t116   6.595344  40.0   5.850157  16.185574  15.350757  0.0  37.072037   0.0  109.637556  40.0  17.861721  0.398848  107.594723
t117   6.599598  40.0   5.823758  16.207932  15.313554  0.0  36.859756   0.0  109.743303  40.0  17.858112  0.402378  107.591328
t118   6.603839  40.0   5.797508  16.230161  15.276422  0.0  36.647957   0.0  109.848766  40.0  17.854503  0.405909  107.587936
t119   6.608064  40.0   5.771407  16.252261  15.239363  0.0  36.436646   0.0  109.953945  40.0  17.850895  0.409441  107.584546
t120   6.612275  40.0   5.745453  16.274233  15.202376  0.0  36.225826   0.0  110.058837  40.0  17.847287  0.412974  107.581159
t121   6.616472  40.0   5.719647  16.296077  15.165462  0.0  36.015502   0.0  110.163439  40.0  17.843680  0.416508  107.577774
t122   6.620655  40.0   5.693987  16.317794  15.128623  0.0  35.805677   0.0  110.267749  40.0  17.840073  0.420044  107.574392
t123   6.624823  40.0   5.668474  16.339385  15.091857  0.0  35.596356   0.0  110.371765  40.0  17.836467  0.423580  107.571012
t124   6.628977  40.0   5.643106  16.360851  15.055167  0.0  35.387542   0.0  110.475484  40.0  17.832861  0.427118  107.567635
t125   6.633117  40.0   5.617883  16.382192  15.018553  0.0  35.179241   0.0  110.578904  40.0  17.829256  0.430657  107.564261
t126   6.637242  40.0   5.592803  16.403410  14.982016  0.0  34.971455   0.0  110.682023  40.0  17.825651  0.434197  107.560889
t127   6.641354  40.0   5.567868  16.424505  14.945555  0.0  34.764190   0.0  110.784839  40.0  17.822047  0.437739  107.557520
t128   6.645450  40.0   5.543075  16.445477  14.909172  0.0  34.557450   0.0  110.887348  40.0  17.818444  0.441281  107.554153
t129   6.649533  40.0   5.518425  16.466328  14.872868  0.0  34.351238   0.0  110.989550  40.0  17.814841  0.444824  107.550789
t130   6.653601  40.0   5.493916  16.487059  14.836642  0.0  34.145560   0.0  111.091440  40.0  17.811238  0.448369  107.547428
t131   6.657655  40.0   5.469548  16.507670  14.800497  0.0  33.940418   0.0  111.193018  40.0  17.807637  0.451914  107.544070
t132   6.661695  40.0   5.445321  16.528162  14.764432  0.0  33.735818   0.0  111.294280  40.0  17.804035  0.455461  107.540715
t133   6.665721  40.0   5.421233  16.548535  14.728448  0.0  33.531764   0.0  111.395225  40.0  17.800435  0.459009  107.537362
t134   6.669732  40.0   5.397285  16.568791  14.692545  0.0  33.328260   0.0  111.495849  40.0  17.796835  0.462558  107.534012
t135   6.673729  40.0   5.373475  16.588931  14.656725  0.0  33.125310   0.0  111.596151  40.0  17.793236  0.466107  107.530665
t136   6.677712  40.0   5.349804  16.608954  14.620988  0.0  32.922918   0.0  111.696128  40.0  17.789637  0.469658  107.527321
t137   6.681681  40.0   5.326269  16.628862  14.585334  0.0  32.721089   0.0  111.795778  40.0  17.786040  0.473210  107.523980
t138   6.685635  40.0   5.302872  16.648656  14.549765  0.0  32.519827   0.0  111.895098  40.0  17.782442  0.476763  107.520641
t139   6.689575  40.0   5.279610  16.668336  14.514281  0.0  32.319136   0.0  111.994086  40.0  17.778846  0.480317  107.517306
t140   6.693501  40.0   5.256484  16.687903  14.478883  0.0  32.119021   0.0  112.092740  40.0  17.775251  0.483871  107.513973
t141   6.697413  40.0   5.233493  16.707357  14.443571  0.0  31.919485   0.0  112.191057  40.0  17.771656  0.487427  107.510643
t142   6.701311  40.0   5.210636  16.726701  14.408346  0.0  31.720534   0.0  112.289035  40.0  17.768062  0.490984  107.507317
t143   6.705195  40.0   5.187913  16.745934  14.373208  0.0  31.522171   0.0  112.386671  40.0  17.764468  0.494541  107.503993
t144   6.709064  40.0   5.165323  16.765057  14.338159  0.0  31.324400   0.0  112.483963  40.0  17.760876  0.498100  107.500672
t145   6.712919  40.0   5.142866  16.784070  14.303199  0.0  31.127227   0.0  112.580909  40.0  17.757284  0.501659  107.497355
t146   6.716761  40.0   5.120540  16.802976  14.268328  0.0  30.930655   0.0  112.677506  40.0  17.753693  0.505219  107.494040
t147   6.720588  40.0   5.098346  16.821773  14.233548  0.0  30.734688   0.0  112.773751  40.0  17.750103  0.508781  107.490728
t148   6.724400  40.0   5.076282  16.840464  14.198859  0.0  30.539330   0.0  112.869644  40.0  17.746514  0.512343  107.487420
t149   6.728199  40.0   5.054349  16.859049  14.164261  0.0  30.344587   0.0  112.965180  40.0  17.742926  0.515905  107.484115
t150   6.731984  40.0   5.032545  16.877528  14.129756  0.0  30.150463   0.0  113.060358  40.0  17.739339  0.519469  107.480812
t151   6.735754  40.0   5.010870  16.895903  14.095344  0.0  29.956960   0.0  113.155175  40.0  17.735752  0.523034  107.477513
t152   6.739511  40.0   4.989324  16.914174  14.061025  0.0  29.764085   0.0  113.249630  40.0  17.732167  0.526599  107.474218
t153   6.743253  40.0   4.967905  16.932341  14.026801  0.0  29.571841   0.0  113.343719  40.0  17.728582  0.530165  107.470925
t154   6.746981  40.0   4.946613  16.950406  13.992671  0.0  29.380232   0.0  113.437439  40.0  17.724999  0.533732  107.467635
t155   6.750695  40.0   4.925448  16.968370  13.958637  0.0  29.189263   0.0  113.530790  40.0  17.721416  0.537300  107.464349
t156   6.754395  40.0   4.904408  16.986233  13.924699  0.0  28.998937   0.0  113.623768  40.0  17.717834  0.540868  107.461066
t157   6.758081  40.0   4.883495  17.003995  13.890859  0.0  28.809260   0.0  113.716372  40.0  17.714254  0.544438  107.457787
t158   6.761753  40.0   4.862706  17.021658  13.857116  0.0  28.620235   0.0  113.808597  40.0  17.710674  0.548008  107.454510
t159   6.765411  40.0   4.842041  17.039222  13.823471  0.0  28.431867   0.0  113.900444  40.0  17.707095  0.551578  107.451237
t160   6.769055  40.0   4.821500  17.056688  13.789925  0.0  28.244160   0.0  113.991908  40.0  17.703518  0.555150  107.447967
t161   6.772684  40.0   4.801081  17.074057  13.756478  0.0  28.057117   0.0  114.082988  40.0  17.699941  0.558722  107.444701
t162   6.776300  40.0   4.780786  17.091330  13.723132  0.0  27.870744   0.0  114.173681  40.0  17.696366  0.562295  107.441438
t163   6.779901  40.0   4.760612  17.108506  13.689887  0.0  27.685045   0.0  114.263985  40.0  17.692792  0.565868  107.438178
t164   6.783489  40.0   4.740560  17.125588  13.656743  0.0  27.500023   0.0  114.353898  40.0  17.689219  0.569442  107.434922
t165   6.787062  40.0   4.720628  17.142575  13.623701  0.0  27.315682   0.0  114.443417  40.0  17.685646  0.573017  107.431669
t166   6.790622  40.0   4.700817  17.159469  13.590762  0.0  27.132028   0.0  114.532540  40.0  17.682076  0.576592  107.428420
t167   6.794167  40.0   4.681125  17.176269  13.557927  0.0  26.949063   0.0  114.621265  40.0  17.678506  0.580168  107.425174
t168   6.797699  40.0   4.661552  17.192978  13.525195  0.0  26.766793   0.0  114.709589  40.0  17.674937  0.583745  107.421931
t169   6.801216  40.0   4.642098  17.209594  13.492569  0.0  26.585221   0.0  114.797511  40.0  17.671370  0.587322  107.418693
t170   6.804719  40.0   4.622761  17.226120  13.460048  0.0  26.404352   0.0  114.885027  40.0  17.667804  0.590900  107.415457
t171   6.808209  40.0   4.603542  17.242556  13.427632  0.0  26.224189   0.0  114.972136  40.0  17.664239  0.594478  107.412225
t172   6.811684  40.0   4.584440  17.258903  13.395324  0.0  26.044736   0.0  115.058836  40.0  17.660675  0.598057  107.408997
t173   6.815146  40.0   4.565453  17.275161  13.363122  0.0  25.865998   0.0  115.145123  40.0  17.657112  0.601636  107.405772
t174   6.818593  40.0   4.546583  17.291331  13.331029  0.0  25.687979   0.0  115.230996  40.0  17.653551  0.605216  107.402551
t175   6.822026  40.0   4.527828  17.307414  13.299044  0.0  25.510682   0.0  115.316453  40.0  17.649991  0.608796  107.399334
t176   6.825446  40.0   4.509187  17.323410  13.267168  0.0  25.334112   0.0  115.401492  40.0  17.646433  0.612377  107.396120
t177   6.828851  40.0   4.490660  17.339320  13.235402  0.0  25.158272   0.0  115.486110  40.0  17.642875  0.615958  107.392909
t178   6.832243  40.0   4.472246  17.355145  13.203746  0.0  24.983167   0.0  115.570305  40.0  17.639319  0.619540  107.389703
