            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t221   0.478769   0.0     1.0  0.959958  0.960351   0.0  0.978349
t222   0.476858   0.0     1.0  0.959873  0.960378   0.0  0.978337
t223   0.474944   0.0     1.0  0.959788  0.960405   0.0  0.978325
t224   0.473028   0.0     1.0  0.959704  0.960431   0.0  0.978313
t225   0.471111   0.0     1.0  0.959619  0.960458   0.0  0.978301
t226   0.469191   0.0     1.0  0.959535  0.960484   0.0  0.978290
t227   0.467271   0.0     1.0  0.959450  0.960511   0.0  0.978278
t228   0.465348   0.0     1.0  0.959366  0.960537   0.0  0.978266
t229   0.463425   0.0     1.0  0.959282  0.960563   0.0  0.978255
t230   0.461500   0.0     1.0  0.959197  0.960589   0.0  0.978244
t231   0.459574   0.0     1.0  0.959113  0.960614   0.0  0.978232
t232   0.457648   0.0     1.0  0.959029  0.960640   0.0  0.978221
t233   0.455721   0.0     1.0  0.958945  0.960665   0.0  0.978210
t234   0.453793   0.0     1.0  0.958862  0.960691   0.0  0.978199
t235   0.451864   0.0     1.0  0.958778  0.960716   0.0  0.978188
t236   0.449936   0.0     1.0  0.958695  0.960741   0.0  0.978178
t237   0.448007   0.0     1.0  0.958611  0.960766   0.0  0.978167
t238   0.446079   0.0     1.0  0.958528  0.960790   0.0  0.978156
t239   0.444151   0.0     1.0  0.958445  0.960815   0.0  0.978146
t240   0.442223   0.0     1.0  0.958362  0.960839   0.0  0.978135
t241   0.440295   0.0     1.0  0.958279  0.960864   0.0  0.978125
t242   0.438368   0.0     1.0  0.958196  0.960888   0.0  0.978115
t243   0.436442   0.0     1.0  0.958114  0.960912   0.0  0.978105
t244   0.434517   0.0     1.0  0.958031  0.960936   0.0  0.978094
t245   0.432594   0.0     1.0  0.957949  0.960960   0.0  0.978084
t246   0.430671   0.0     1.0  0.957867  0.960983   0.0  0.978075
t247   0.428750   0.0     1.0  0.957785  0.961007   0.0  0.978065
t248   0.426830   0.0     1.0  0.957703  0.961030   0.0  0.978055
t249   0.424913   0.0     1.0  0.957622  0.961054   0.0  0.978045
t250   0.422997   0.0     1.0  0.957540  0.961077   0.0  0.978036
t251   0.421083   0.0     1.0  0.957459  0.961100   0.0  0.978027
t252   0.419172   0.0     1.0  0.957378  0.961123   0.0  0.978017
t253   0.417263   0.0     1.0  0.957297  0.961146   0.0  0.978008
t254   0.415357   0.0     1.0  0.957216  0.961168   0.0  0.977999
t255   0.413453   0.0     1.0  0.957136  0.961191   0.0  0.977990
t256   0.411553   0.0     1.0  0.957055  0.961213   0.0  0.977981
t257   0.409655   0.0     1.0  0.956975  0.961236   0.0  0.977972
t258   0.407761   0.0     1.0  0.956895  0.961258   0.0  0.977963
t259   0.405870   0.0     1.0  0.956816  0.961280   0.0  0.977954
t260   0.403983   0.0     1.0  0.956736  0.961302   0.0  0.977946
t261   0.402100   0.0     1.0  0.956657  0.961324   0.0  0.977937
t262   0.400220   0.0     1.0  0.956578  0.961346   0.0  0.977929
t263   0.398344   0.0     1.0  0.956499  0.961368   0.0  0.977920
t264   0.396473   0.0     1.0  0.956420  0.961389   0.0  0.977912
t265   0.394606   0.0     1.0  0.956342  0.961411   0.0  0.977904
t266   0.392744   0.0     1.0  0.956264  0.961432   0.0  0.977896
t267   0.390886   0.0     1.0  0.956186  0.961454   0.0  0.977888
t268   0.389034   0.0     1.0  0.956108  0.961475   0.0  0.977880
t269   0.387186   0.0     1.0  0.956031  0.961496   0.0  0.977872
t270   0.385343   0.0     1.0  0.955953  0.961517   0.0  0.977864
