           S_ALK        S_I       S_ND       S_NH      S_NO       S_O        S_S      X_BA        X_BH        X_I       X_ND        X_P        X_S
t140    5.951916  37.897884   6.629787  10.789021  4.679137  1.857362  30.314194  2.013990  112.139723  38.468837  14.938750   0.461597  63.983402
t141    5.951262  37.884429   6.613919  10.805546  4.677402  1.857498  30.124049  2.015185  112.286379  38.480912  14.926150   0.464968  63.949347
t142    5.950606  37.870995   6.598143  10.822013  4.675678  1.857637  29.934706  2.016378  112.432629  38.492987  14.913557   0.468341  63.915297
t143    5.949949  37.857580   6.582459  10.838423  4.673963  1.857778  29.746168  2.017572  112.578459  38.505061  14.900969   0.471715  63.881246
t144    5.949289  37.844187   6.566865  10.854777  4.672259  1.857921  29.558441  2.018765  112.723862  38.517130  14.888386   0.475091  63.847191
t145    5.948628  37.830814   6.551362  10.871074  4.670566  1.858067  29.371529  2.019957  112.868828  38.529193  14.875805   0.478468  63.813128
t146    5.947965  37.817461   6.535950  10.887316  4.668882  1.858215  29.185435  2.021148  113.013351  38.541247  14.863227   0.481847  63.779053
t147    5.947300  37.804129   6.520626  10.903503  4.667210  1.858365  29.000164  2.022338  113.157426  38.553292  14.850651   0.485227  63.744965
t148    5.946634  37.790817   6.505393  10.919635  4.665547  1.858518  28.815721  2.023527  113.301046  38.565326  14.838077   0.488608  63.710862
t149    5.945966  37.777526   6.490248  10.935712  4.663896  1.858673  28.632109  2.024715  113.444207  38.577348  14.825504   0.491991  63.676743
t150    5.945296  37.764254   6.475192  10.951736  4.662254  1.858831  28.449332  2.025903  113.586905  38.589358  14.812933   0.495375  63.642607
t151    5.944625  37.751003   6.460223  10.967707  4.660624  1.858990  28.267395  2.027089  113.729136  38.601356  14.800362   0.498760  63.608453
t152    5.943952  37.737773   6.445343  10.983625  4.659004  1.859152  28.086301  2.028274  113.870896  38.613340  14.787793   0.502147  63.574281
t153    5.943278  37.724562   6.430550  10.999490  4.657395  1.859317  27.906056  2.029458  114.012182  38.625311  14.775224   0.505535  63.540090
t154    5.942602  37.711372   6.415843  11.015304  4.655797  1.859483  27.726662  2.030641  114.152990  38.637268  14.762657   0.508925  63.505881
t155    5.941925  37.698202   6.401223  11.031066  4.654210  1.859652  27.548123  2.031822  114.293318  38.649211  14.750090   0.512315  63.471653
t156    5.941246  37.685052   6.386690  11.046778  4.652633  1.859823  27.370444  2.033003  114.433162  38.661140  14.737524   0.515707  63.437405
t157    5.940565  37.671922   6.372242  11.062438  4.651068  1.859996  27.193629  2.034182  114.572519  38.673054  14.724959   0.519101  63.403139
t158    5.939883  37.658812   6.357879  11.078049  4.649513  1.860172  27.017681  2.035361  114.711387  38.684954  14.712395   0.522495  63.368855
t159    5.939200  37.645722   6.343601  11.093610  4.647970  1.860350  26.842603  2.036538  114.849763  38.696839  14.699833   0.525891  63.334551
t160    5.938515  37.632652   6.329408  11.109122  4.646437  1.860530  26.668401  2.037714  114.987643  38.708710  14.687271   0.529288  63.300229
t161    5.937829  37.619602   6.315298  11.124586  4.644916  1.860712  26.495077  2.038889  115.125027  38.720565  14.674710   0.532686  63.265889
t162    5.937142  37.606572   6.301273  11.140001  4.643406  1.860896  26.322635  2.040062  115.261910  38.732405  14.662151   0.536086  63.231530
t163    5.936453  37.593562   6.287330  11.155368  4.641908  1.861083  26.151079  2.041235  115.398290  38.744231  14.649593   0.539486  63.197154
t164    5.935763  37.580572   6.273471  11.170687  4.640420  1.861271  25.980412  2.042406  115.534165  38.756041  14.637036   0.542888  63.162759
t165    5.935072  37.567602   6.259694  11.185960  4.638944  1.861462  25.810638  2.043576  115.669532  38.767836  14.624480   0.546291  63.128348
t166    5.934379  37.554651   6.245999  11.201186  4.637479  1.861655  25.641760  2.044745  115.804389  38.779616  14.611927   0.549695  63.093919
t167    5.933685  37.541721   6.232386  11.216366  4.636026  1.861850  25.473781  2.045912  115.938733  38.791380  14.599374   0.553101  63.059473
t168    5.932990  37.528810   6.218854  11.231501  4.634584  1.862047  25.306705  2.047079  116.072562  38.803129  14.586824   0.556507  63.025010
t169    5.932294  37.515919   6.205403  11.246590  4.633154  1.862246  25.140536  2.048244  116.205874  38.814862  14.574275   0.559915  62.990530
t170    5.931597  37.503047   6.192032  11.261634  4.631735  1.862447  24.975276  2.049408  116.338665  38.826580  14.561727   0.563324  62.956034
t171    5.930899  37.490195   6.178742  11.276634  4.630328  1.862650  24.810928  2.050571  116.470935  38.838282  14.549182   0.566734  62.921522
t172    5.930199  37.477363   6.165532  11.291590  4.628932  1.862855  24.647496  2.051733  116.602680  38.849969  14.536639   0.570145  62.886995
t173    5.929498  37.464550   6.152400  11.306502  4.627548  1.863062  24.484983  2.052893  116.733898  38.861639  14.524098   0.573557  62.852452
t174    5.928797  37.451757   6.139348  11.321371  4.626176  1.863271  24.323391  2.054052  116.864587  38.873294  14.511558   0.576970  62.817893
t175    5.928094  37.438984   6.126374  11.336198  4.624815  1.863482  24.162724  2.055210  116.994745  38.884933  14.499022   0.580384  62.783320
t176    5.927390  37.426230   6.113478  11.350982  4.623466  1.863695  24.002984  2.056367  117.124370  38.896556  14.486487   0.583799  62.748731
t177    5.926685  37.413495   6.100661  11.365723  4.622129  1.863909  23.844174  2.057522  117.253459  38.908163  14.473955   0.587216  62.714129
t178    5.925979  37.400780   6.087920  11.380424  4.620804  1.864126  23.686297  2.058677  117.382011  38.919753  14.461425   0.590633  62.679512
t179    5.925272  37.388084   6.075257  11.395083  4.619491  1.864344  23.529356  2.059830  117.510023  38.931328  14.448898   0.594051  62.644881
t180    5.924565  37.375408   6.062670  11.409701  4.618190  1.864564  23.373352  2.060981  117.637494  38.942886  14.436373   0.597470  62.610236
t181    5.923856  37.362751   6.050159  11.424278  4.616900  1.864786  23.218290  2.062132  117.764420  38.954428  14.423851   0.600891  62.575578
t182    5.923146  37.350114   6.037724  11.438816  4.615623  1.865010  23.064170  2.063281  117.890802  38.965954  14.411332   0.604312  62.540906
t183    5.922436  37.337496   6.025365  11.453314  4.614357  1.865235  22.910995  2.064429  118.016635  38.977463  14.398815   0.607734  62.506222
t184    5.921725  37.324897   6.013080  11.467772  4.613104  1.865462  22.758768  2.065576  118.141920  38.988956  14.386302   0.611157  62.471525
t185    5.921013  37.312317   6.000871  11.482192  4.611862  1.865690  22.607491  2.066722  118.266653  39.000432  14.373792   0.614581  62.436816
t186    5.920300  37.299756   5.988735  11.496573  4.610633  1.865921  22.457166  2.067866  118.390833  39.011891  14.361285   0.618006  62.402094
t187    5.919586  37.287215   5.976674  11.510916  4.609416  1.866153  22.307794  2.069009  118.514458  39.023334  14.348781   0.621432  62.367360
t188    5.918871  37.274693   5.964686  11.525220  4.608211  1.866386  22.159379  2.070150  118.637527  39.034760  14.336280   0.624859  62.332615
t189    5.918156  37.262190   5.952771  11.539488  4.607018  1.866621  22.011921  2.071291  118.760038  39.046169  14.323782   0.628286  62.297859
t190    5.917440  37.249706   5.940929  11.553718  4.605837  1.866858  21.865423  2.072430  118.881989  39.057561  14.311288   0.631715  62.263091
t191    5.916723  37.237241   5.929160  11.567911  4.604669  1.867096  21.719887  2.073568  119.003379  39.068936  14.298798   0.635144  62.228313
t192    5.916005  37.224796   5.917462  11.582067  4.603512  1.867335  21.575313  2.074704  119.124206  39.080294  14.286311   0.638574  62.193524
t193    5.915287  37.212369   5.905837  11.596188  4.602368  1.867576  21.431704  2.075840  119.244468  39.091635  14.273828   0.642005  62.158724
t194    5.914568  37.199961   5.894282  11.610272  4.601237  1.867818  21.289061  2.076974  119.364165  39.102959  14.261349   0.645436  62.123915
t195    5.913849  37.187572   5.882798  11.624321  4.600117  1.868062  21.147385  2.078106  119.483295  39.114265  14.248873   0.648869  62.089095
t196    5.913129  37.175202   5.871385  11.638335  4.599010  1.868307  21.006678  2.079238  119.601856  39.125554  14.236402   0.652302  62.054266
t197    5.912408  37.162851   5.860042  11.652314  4.597915  1.868553  20.866941  2.080368  119.719847  39.136826  14.223934   0.655736  62.019428
t198    5.911686  37.150519   5.848769  11.666258  4.596833  1.868800  20.728175  2.081497  119.837268  39.148080  14.211471   0.659170  61.984581
t199    5.910964  37.138206   5.837565  11.680169  4.595763  1.869049  20.590381  2.082624  119.954116  39.159316  14.199011   0.662605  61.949724
t200    5.910242  37.125912   5.826431  11.694045  4.594705  1.869299  20.453561  2.083750  120.070391  39.170535  14.186556   0.666041  61.914860
t201    5.909519  37.113636   5.815364  11.707887  4.593659  1.869550  20.317714  2.084875  120.186091  39.181736  14.174105   0.669478  61.879987
