              S_ALK           S_I         S_ND          S_NH         S_NO       S_O           S_S        X_BA         X_BH          X_I         X_ND          X_P          X_S
t156     760.111797   4761.132401   857.445347   1219.411859   278.653972  0.092044   5675.805155  159.196202  8348.416562  2668.775766  1189.210875    19.017919  4998.547705
t157     765.208968   4791.583309   861.132983   1228.949481   278.874922  0.092717   5701.984933  159.167938  8351.190484  2668.400196  1188.831411    19.173924  4997.955749
t158     770.307905   4822.032946   864.801742    1238.50563   279.087085  0.093391   5728.094475  159.139453  8353.936784  2668.021032  1188.450619    19.330692   4997.36304
t159     775.408583   4852.481305   868.451676   1248.080268   279.290759  0.094066   5754.135416  159.110754  8356.655018    2667.6384  1188.068593    19.488216  4996.769938
t160     780.510978    4882.92838   872.082839    1257.67336   279.486244  0.094743   5780.109381  159.081849  8359.344729  2667.252413  1187.685424    19.646489  4996.176776
t161     785.615064   4913.374164   875.695284   1267.284865   279.673834  0.095421   5806.017975  159.052745  8362.005448  2666.863178  1187.301198    19.805506  4995.583875
t162     790.720816    4943.81865   879.289065   1276.914744    279.85382  0.096101   5831.862786  159.023449  8364.636709  2666.470798  1186.915998    19.965259  4994.991537
t163     795.828211   4974.261831   882.864236   1286.562958    280.02649  0.096781   5857.645381  158.993966   8367.23805  2666.075369  1186.529903    20.125742  4994.400056
t164     800.937224   5004.703702   886.420854   1296.229465   280.192128  0.097463   5883.367305  158.964302  8369.809019  2665.676983  1186.142991    20.286949  4993.809713
t165     806.047831   5035.144255   889.958973   1305.914224   280.351014  0.098147   5909.030077  158.934464  8372.349175   2665.27573  1185.755335    20.448873  4993.220781
t166     811.160008   5065.583484   893.478651    1315.61719   280.503422  0.098831   5934.635187  158.904456  8374.858095  2664.871699  1185.367009    20.611508  4992.633524
t167     816.273733   5096.021383   896.979946   1325.338319   280.649622  0.099517   5960.184099  158.874285  8377.335376  2664.464976  1184.978084    20.774848  4992.048201
t168     821.388982   5126.457944   900.462916   1335.077565   280.789877  0.100205   5985.678242  158.843956  8379.780634  2664.055646   1184.58863    20.938887  4991.465063
t169     826.505732   5156.893161   903.927623   1344.834881   280.924447  0.100893   6011.119015  158.813474  8382.193509  2663.643794  1184.198714    21.103617  4990.884353
t170     831.623961   5187.327028   907.374126   1354.610219   281.053582  0.101583    6036.50778  158.782845  8384.573668  2663.229504  1183.808403    21.269033  4990.306311
t171     836.743647   5217.759538   910.802488   1364.403527    281.17753  0.102274   6061.845867  158.752074    8386.9208   2662.81286  1183.417761    21.435129  4989.731171
t172     841.864768   5248.190685   914.212772   1374.214755   281.296529  0.102966   6087.134564  158.721167  8389.234626  2662.393945  1183.026854    21.601899   4989.15916
t173     846.987302   5278.620462   917.605043   1384.043849   281.410811  0.103659   6112.375124  158.690129   8391.51489  2661.972844  1182.635742    21.769336  4988.590502
t174     852.111229   5309.048863   920.979367   1393.890754   281.520603  0.104354   6137.568759  158.658965   8393.76137   2661.54964  1182.244488    21.937434  4988.025412
t175     857.236529   5339.475881   924.335811   1403.755414   281.626123   0.10505   6162.716642  158.627681  8395.973869  2661.124417  1181.853151    22.106188  4987.464105
t176      862.36318    5369.90151   927.674444   1413.637771   281.727582  0.105747   6187.819905  158.596282  8398.152222  2660.697261   1181.46179    22.275591  4986.906789
t177     867.491163   5400.325744   930.995335   1423.537764   281.825184  0.106445   6212.879639  158.564774  8400.296294  2660.268255  1181.070463    22.445638  4986.353665
t178     872.620459   5430.748575   934.298555   1433.455333   281.919126  0.107144   6237.896894  158.533161  8402.405979  2659.837486  1180.679225    22.616322  4985.804932
t179     877.751049   5461.169998   937.584177   1443.390414   282.009598  0.107844   6262.872678  158.501451    8404.4812  2659.405039  1180.288133    22.787639  4985.260785
t180     882.882914   5491.590007   940.852274   1453.342944   282.096782  0.108546    6287.80796  158.469647  8406.521913  2658.971001   1179.89724    22.959581  4984.721412
t181     888.016037   5522.008594   944.102921   1463.312855   282.180853  0.109249   6312.703665  158.437756    8408.5281  2658.535459  1179.506599    23.132145  4984.186997
t182     893.150398   5552.425754   947.336194    1473.30008   282.261978  0.109953    6337.56068  158.405783  8410.499772    2658.0985  1179.116262    23.305323  4983.657722
t183     898.285982   5582.841481    950.55217   1483.304551   282.340319  0.110658   6362.379849  158.373734  8412.436971  2657.660213   1178.72628     23.47911  4983.133762
t184     903.422771   5613.255767   953.750927   1493.326197   282.416028  0.111364   6387.161981  158.341614  8414.339764  2657.220684  1178.336703    23.653501  4982.615289
t185     908.560748   5643.668607   956.932546   1503.364945   282.489253  0.112071   6411.907841  158.309429  8416.208245  2656.780005   1177.94758     23.82849  4982.102472
t186     913.699898   5674.079994   960.097106   1513.420722   282.560134   0.11278   6436.618161  158.277185  8418.042537  2656.338263  1177.558958    24.004072  4981.595473
t187     918.840205   5704.489923   963.244689   1523.493454   282.628804  0.113489   6461.293633  158.244887  8419.842784   2655.89555  1177.170883    24.180242  4981.094454
t188     923.981653   5734.898386   966.375378   1533.583065    282.69539    0.1142   6485.934914  158.212541  8421.609158  2655.451954  1176.783403    24.356995   4980.59957
