          H_grow  Han_grow        A_grow   decay_H   decay_A   Ammonia  hydro_org   hydro_N
t            NaN       NaN           NaN       NaN       NaN       NaN        NaN       NaN
t253    0.000030  0.000220  9.304365e-08  0.000632  0.000003  0.000293   0.000076  0.000017
t254    0.000030  0.000220  9.310622e-08  0.000632  0.000003  0.000291   0.000076  0.000017
t255    0.000030  0.000220  9.316884e-08  0.000632  0.000003  0.000290   0.000076  0.000017
t256    0.000030  0.000219  9.323149e-08  0.000632  0.000003  0.000288   0.000076  0.000017
t257    0.000030  0.000219  9.329418e-08  0.000632  0.000003  0.000287   0.000076  0.000017
t258    0.000030  0.000219  9.335690e-08  0.000632  0.000003  0.000285   0.000076  0.000017
t259    0.000030  0.000219  9.341967e-08  0.000632  0.000003  0.000284   0.000076  0.000017
t260    0.000030  0.000219  9.348246e-08  0.000632  0.000003  0.000282   0.000076  0.000017
t261    0.000030  0.000219  9.354530e-08  0.000632  0.000003  0.000281   0.000076  0.000017
t262    0.000030  0.000219  9.360816e-08  0.000631  0.000003  0.000279   0.000076  0.000017
t263    0.000030  0.000219  9.367106e-08  0.000631  0.000003  0.000278   0.000076  0.000017
t264    0.000030  0.000218  9.373400e-08  0.000631  0.000003  0.000277   0.000076  0.000017
t265    0.000030  0.000218  9.379696e-08  0.000631  0.000003  0.000275   0.000076  0.000017
t266    0.000030  0.000218  9.385995e-08  0.000631  0.000003  0.000274   0.000077  0.000017
t267    0.000030  0.000218  9.392298e-08  0.000631  0.000003  0.000272   0.000077  0.000017
t268    0.000030  0.000218  9.398603e-08  0.000631  0.000003  0.000271   0.000077  0.000017
t269    0.000030  0.000218  9.404911e-08  0.000631  0.000003  0.000270   0.000077  0.000017
t270    0.000030  0.000218  9.411222e-08  0.000631  0.000003  0.000268   0.000077  0.000017
t271    0.000030  0.000218  9.417535e-08  0.000631  0.000003  0.000267   0.000077  0.000017
t272    0.000030  0.000218  9.423851e-08  0.000631  0.000003  0.000266   0.000077  0.000017
t273    0.000030  0.000218  9.430169e-08  0.000631  0.000003  0.000264   0.000077  0.000017
t274    0.000030  0.000218  9.436490e-08  0.000631  0.000003  0.000263   0.000077  0.000017
t275    0.000030  0.000218  9.442813e-08  0.000631  0.000003  0.000262   0.000077  0.000017
t276    0.000030  0.000218  9.449138e-08  0.000631  0.000003  0.000260   0.000077  0.000017
t277    0.000030  0.000218  9.455466e-08  0.000631  0.000003  0.000259   0.000077  0.000017
t278    0.000030  0.000218  9.461796e-08  0.000631  0.000003  0.000258   0.000077  0.000017
t279    0.000030  0.000217  9.468127e-08  0.000631  0.000003  0.000256   0.000077  0.000017
t280    0.000030  0.000217  9.474461e-08  0.000631  0.000003  0.000255   0.000077  0.000017
t281    0.000030  0.000217  9.480797e-08  0.000630  0.000003  0.000254   0.000077  0.000017
t282    0.000030  0.000217  9.487134e-08  0.000630  0.000003  0.000253   0.000077  0.000017
t283    0.000030  0.000217  9.493473e-08  0.000630  0.000003  0.000251   0.000077  0.000017
t284    0.000030  0.000217  9.499814e-08  0.000630  0.000003  0.000250   0.000077  0.000017
t285    0.000030  0.000217  9.506157e-08  0.000630  0.000003  0.000249   0.000077  0.000017
t286    0.000030  0.000217  9.512501e-08  0.000630  0.000003  0.000248   0.000077  0.000017
t287    0.000030  0.000217  9.518847e-08  0.000630  0.000003  0.000247   0.000077  0.000017
t288    0.000030  0.000217  9.525194e-08  0.000630  0.000003  0.000245   0.000077  0.000017
t289    0.000030  0.000217  9.531543e-08  0.000630  0.000003  0.000244   0.000077  0.000017
t290    0.000030  0.000217  9.537893e-08  0.000630  0.000003  0.000243   0.000077  0.000017
t291    0.000030  0.000217  9.544245e-08  0.000630  0.000003  0.000242   0.000077  0.000017
t292    0.000030  0.000217  9.550598e-08  0.000630  0.000003  0.000241   0.000077  0.000017
t293    0.000030  0.000217  9.556952e-08  0.000630  0.000003  0.000239   0.000077  0.000017
t294    0.000030  0.000217  9.563308e-08  0.000630  0.000003  0.000238   0.000077  0.000017
t295    0.000030  0.000217  9.569664e-08  0.000630  0.000003  0.000237   0.000077  0.000017
t296    0.000030  0.000217  9.576023e-08  0.000630  0.000003  0.000236   0.000077  0.000017
